Date,compound,Low,Open,Volume,High,Close,Adjusted Close
12-01-06,0.7707,3.217856884,3.27857089,795079600,3.297499895,3.261429071,2.809276104
12-04-06,0.872,3.232142925,3.281429052,709536800,3.287499905,3.254286051,2.803122997
12-05-06,0,3.245357037,3.273214102,662838400,3.297499895,3.259643078,2.807737589
12-06-06,0.6858,3.202500105,3.23714304,638184400,3.26392889,3.208214045,2.763438225
12-07-06,-0.6712,3.103570938,3.215357065,1004827600,3.232142925,3.108571053,2.677609205
12-08-06,-0.1796,3.107142925,3.115356922,784277200,3.192500114,3.152143002,2.71514082
12-11-06,-0.8743,3.144643068,3.174999952,499780400,3.189285994,3.169642925,2.730214119
12-12-06,0,3.054642916,3.164643049,1026620000,3.172857046,3.07642889,2.649922848
13-12-06,0.936,3.112499952,3.141071081,857052000,3.181071043,3.180356979,2.739442587
14-12-06,0.962,3.152143002,3.180356979,832330800,3.214286089,3.162499905,2.724061728
15-12-06,-0.5228,3.118928909,3.179286003,739939200,3.186429024,3.132857084,2.698529005
18-12-06,0.7059,3.021070957,3.129642963,721576800,3.142857075,3.05250001,2.629312038
19-12-06,-0.6705,2.986428976,3.026071072,911405600,3.095714092,3.082499981,2.655153036
20-12-06,-0.802,3.026428938,3.088213921,567691600,3.095356941,3.027143002,2.607469797
21-12-06,0,2.935714006,3.025000095,903599200,3.052856922,2.960714102,2.550251484
22-12-06,0.7269,2.914285898,2.980714083,613303600,3.001429081,2.935714006,2.528716803
26-12-06,-0.7685,2.88892889,2.933928967,490688800,2.948929071,2.911071062,2.507490635
27-12-06,0.9488,2.741786003,2.791070938,1935754800,2.928570986,2.911428928,2.507798195
28-12-06,0.8636,2.844643116,2.86500001,1119876800,2.901786089,2.888214111,2.487802029
29-12-06,0.8914,2.977143049,2.998214006,1076429200,3.049999952,3.029999971,2.609931946
01-03-07,-0.3881,2.924999952,3.081785917,1238319600,3.092143059,2.992856979,2.577937365
01-04-07,0.8456,2.993571043,3.001785994,847260400,3.069643021,3.059286118,2.635157585
01-05-07,0.9698,3.014286041,3.063214064,834741600,3.078571081,3.037499905,2.616391182
01-08-07,0.8798,3.045713902,3.069999933,797106800,3.090357065,3.05250001,2.629312038
01-09-07,-0.946,3.041070938,3.087500095,3349298400,3.320713997,3.306071043,2.847728968
01-10-07,-0.8465,3.337500095,3.383929014,2952880000,3.492856979,3.464286089,2.984009504
01-11-07,0.6509,3.396429062,3.426429033,1440252800,3.456429005,3.421428919,2.947094202
01-12-07,0.968,3.329643011,3.378213882,1312690400,3.394999981,3.379286051,2.910793066
16-01-07,-0.8212,3.40892911,3.417143106,1244076400,3.473213911,3.467856884,2.987085581
17-01-07,0.7482,3.386429071,3.48428607,1646260000,3.485713959,3.391071081,2.920944452
18-01-07,0.9592,3.180356979,3.289285898,2364605600,3.289643049,3.181071043,2.740058184
19-01-07,0.9864,3.147142887,3.165357113,1364473600,3.201786041,3.160713911,2.722524405
22-01-07,0.9829,3.058928967,3.1835711,1454026000,3.184286118,3.099642992,2.669919729
23-01-07,0.7184,3.05392909,3.061785936,1207424400,3.125356913,3.060714006,2.636387348
24-01-07,-0.2592,3.074285984,3.095714092,927813600,3.112499952,3.09642911,2.667150974
25-01-07,0.9268,3.07249999,3.11107111,905973600,3.160713911,3.080357075,2.653307199
26-01-07,0.6187,3.035356998,3.11107111,986874000,3.120357037,3.049285889,2.626543045
29-01-07,0,3.054642916,3.082143068,901664400,3.094643116,3.069286108,2.643770695
30-01-07,0.9473,3.044642925,3.086786032,577970400,3.088928938,3.055356979,2.631773472
31-01-07,0.25,3.012500048,3.030714035,856069200,3.071429014,3.061785936,2.637310028
02-01-07,0.9152,3.026428938,3.079643011,664342000,3.0810709,3.026428938,2.606855631
02-02-07,-0.4235,2.989285946,3.004286051,621530000,3.044642925,3.026786089,2.607163191
02-05-07,0.8481,2.997857094,3.010714054,578852400,3.0439291,2.997857094,2.582244873
02-06-07,0,2.959285975,3.016071081,864393600,3.016786098,3.005357027,2.588704824
02-07-07,-0.2681,2.983928919,3.017143011,1066825200,3.085000038,3.076786041,2.650231123
02-08-07,0.9928,3.050357103,3.051070929,679030800,3.089643002,3.077857018,2.651153803
02-09-07,0.9634,2.971786022,3.067142963,860540800,3.078571081,2.973928928,2.56163311
02-12-07,-0.9729,2.986785889,3.015357018,724071600,3.042143106,3.031429052,2.611162186
13-02-07,0,3.010714054,3.041429043,580986000,3.046071053,3.025000095,2.605624199
14-02-07,0.9158,3.020356894,3.022500038,507981600,3.0585711,3.046428919,2.624082327
15-02-07,0.6369,3.027857065,3.051429033,363661200,3.057857037,3.043214083,2.621312857
16-02-07,0.4754,3.023571014,3.044642925,399868000,3.050357103,3.029643059,2.609622955
20-02-07,0.9789,3.00571394,3.023214102,617702400,3.077142954,3.067857027,2.642539978
21-02-07,-0.8625,3.069999933,3.070713997,1155313600,3.19607091,3.185714006,2.744057655
22-02-07,0.8402,3.161786079,3.242856979,838224800,3.243213892,3.196785927,2.753595352
23-02-07,0.9806,3.173213959,3.184286118,517893600,3.226428986,3.181071043,2.740058184
26-02-07,0.9869,3.1289289,3.208570957,615848800,3.214286089,3.161071062,2.722831249
27-02-07,0.9581,2.978929043,3.082143068,1145813200,3.109999895,2.997499943,2.581936836
28-02-07,0,2.964286089,2.964286089,919475200,3.057142973,3.021785975,2.602855444
03-01-07,-0.9539,2.991070986,3.001070976,1415528800,3.153928995,3.10928607,2.678225517
03-02-07,-0.93,3.043214083,3.098928928,860000400,3.126429081,3.050357103,2.62746644
03-05-07,0.3071,3.062856913,3.067500114,838899600,3.166070938,3.082856894,2.655460596
03-06-07,0.9944,3.121428967,3.135714054,723186800,3.153928995,3.149642944,2.712986708
03-07-07,0,3.123214006,3.144643068,626284400,3.17750001,3.132857084,2.698529005
03-08-07,0.4398,3.123570919,3.163928986,511011200,3.168570995,3.142857075,2.707142591
03-09-07,0.9501,3.121428967,3.171428919,451836000,3.173213959,3.141786098,2.706219912
03-12-07,-0.9724,3.142499924,3.145356894,729408400,3.213928938,3.209642887,2.76466918
13-03-07,0.5135,3.157143116,3.19321394,867890800,3.235713959,3.157143116,2.719447851
14-03-07,0.9553,3.140000105,3.164285898,796586000,3.214286089,3.214286089,2.76866889
15-03-07,0.5713,3.189642906,3.212857008,559498800,3.227143049,3.198929071,2.755440235
16-03-07,0.1882,3.190000057,3.197856903,571704000,3.213928938,3.199642897,2.756055832
19-03-07,-0.743,3.199642897,3.222856998,712961200,3.269643068,3.254642963,2.803430557
20-03-07,0.738,3.252142906,3.262500048,488916400,3.279999971,3.267143011,2.81419754
21-03-07,0.4762,3.273214102,3.285356998,686896000,3.357142925,3.352499962,2.887721062
22-03-07,-0.6633,3.321429014,3.347500086,561492400,3.369999886,3.355714083,2.890489578
23-03-07,0.9151,3.332143068,3.333929062,450884000,3.359642982,3.339999914,2.876954079
26-03-07,0.6808,3.332143068,3.356786013,864987200,3.424999952,3.423213959,2.948631525
27-03-07,-0.3939,3.392857075,3.418214083,932052800,3.458214045,3.409286022,2.936633825
28-03-07,0,3.326786041,3.388571024,942337200,3.407143116,3.329999924,2.868340015
29-03-07,0.875,3.2939291,3.363929033,725723600,3.363929033,3.348213911,2.884029627
30-03-07,0.2382,3.3125,3.367142916,600558000,3.381428957,3.31821394,2.858187675
04-02-07,0.7677,3.322143078,3.36214304,501992400,3.366070986,3.344643116,2.880954027
04-03-07,0,3.348571062,3.36214304,583934400,3.401071072,3.375,2.90710187
04-04-07,0.949,3.361785889,3.39071393,476784000,3.397856951,3.366786003,2.900026083
04-05-07,0,3.339999914,3.361428976,355516000,3.381428957,3.381428957,2.912639618
04-09-07,0.945,3.322856903,3.400357008,413341600,3.40357089,3.344643116,2.880954027
04-10-07,0.969,3.336071014,3.345356941,352466800,3.36642909,3.366070986,2.899410486
04-11-07,0.9799,3.297499895,3.353570938,549018400,3.355356932,3.30678606,2.848344088
04-12-07,-0.4569,3.24000001,3.287142992,656675600,3.29678607,3.292500019,2.836039305
13-04-07,0.204,3.216428995,3.246428967,719941600,3.264286041,3.222856998,2.776050806
16-04-07,0.4588,3.223213911,3.234642982,609033600,3.267857075,3.265357018,2.812659979
17-04-07,0.959,3.203571081,3.285713911,751920400,3.296428919,3.226785898,2.779435635
18-04-07,0.9814,3.200000048,3.220000029,464044000,3.244642973,3.228570938,2.780972958
19-04-07,0.9472,3.208214045,3.221071005,425913600,3.258929014,3.223928928,2.776973963
20-04-07,0.8895,3.233928919,3.2460711,522779600,3.256428957,3.248929024,2.798508644
23-04-07,0.936,3.265000105,3.271070957,780290000,3.349999905,3.339643002,2.876645803
24-04-07,-0.7127,3.260714054,3.355714083,1055252800,3.442500114,3.329999924,2.868340015
25-04-07,-0.9543,3.349999905,3.365356922,1187144000,3.407143116,3.405356884,2.93324995
26-04-07,0.8668,3.510714054,3.62785697,1737778000,3.660713911,3.529999971,3.040612698
27-04-07,0.8689,3.488929033,3.506428957,699403600,3.569643021,3.568571091,3.073836327
30-04-07,0,3.55964303,3.574642897,616509600,3.607142925,3.564285994,3.070145845
05-01-07,0.1212,3.519643068,3.55678606,532523600,3.583929062,3.55250001,3.059993744
05-02-07,-0.9913,3.55250001,3.558928967,505145200,3.590713978,3.585356951,3.088295698
05-03-07,0.9432,3.571785927,3.597500086,576077600,3.623214006,3.585714102,3.088603258
05-04-07,0.9509,3.589286089,3.599999905,381987200,3.628571033,3.600357056,3.101216793
